size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#00C094	0.364081464272532	0.76401523053047	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	3	#00C094
3.9718012070186	#A58AFF	0.825466270056669	0.301353588465342	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80498447189992	#C49A00	0.255520333499794	0.741448075458559	Albania	Albania	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.202433940551925	0.687314569731852	Armenia	Armenia	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.723310245999522	0.273869558712207	Angola	Angola	Sub-Saharan Africa (all income levels)	3	#FB61D7
4.90241278938748	#53B400	0.265399396400113	0.752117518701359	Argentina	Argentina	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.113956618972143	0.813423778542566	Austria	Austria	Europe & Central Asia (all income levels)	3	#C49A00
4.12978872191586	#F8766D	0.155101287535011	0.841029419046821	Australia	Australia	East Asia & Pacific (all income levels)	3	#F8766D
2	#53B400	0.186584015459105	0.77289623566461	Aruba	Aruba	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.246401198514884	0.627190214378093	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.122207264910871	0.65504705709013	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.139902729226828	0.792792514615047	Barbados	Barbados	Latin America & Caribbean (all income levels)	3	#53B400
7.27863618750147	#A58AFF	0.389810452265671	0.578774314122015	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.60996894379985	#C49A00	0.128069565972599	0.817148107795618	Belgium	Belgium	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.678583060121154	0.386551420464878	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.110699785048961	0.739264022375163	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.311863560370845	0.763170035810186	Bahrain	Bahrain	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#FB61D7	0.651551338558742	0.324907310755715	Burundi	Burundi	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#FB61D7	0.66175608485138	0.40779567858476	Benin	Benin	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#F8766D	0.300356080508935	0.787628618095612	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	3	#F8766D
3.39427400463467	#53B400	0.468083027552815	0.566419041841814	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	3	#53B400
