size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#00C094	0.448976268536813	0.747279310974766	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	3	#00C094
3.60996894379985	#A58AFF	0.814935840371713	0.282330246687788	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80498447189992	#C49A00	0.320222767440346	0.745611723550032	Albania	Albania	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.231745445860564	0.685754151781543	Armenia	Armenia	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.732972186638296	0.267840325691832	Angola	Angola	Sub-Saharan Africa (all income levels)	3	#FB61D7
4.78854800926934	#53B400	0.280706515839069	0.738412367083724	Argentina	Argentina	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.110699785048961	0.800050396255332	Austria	Austria	Europe & Central Asia (all income levels)	3	#C49A00
3.9718012070186	#F8766D	0.152821503788783	0.822886615114097	Australia	Australia	East Asia & Pacific (all income levels)	3	#F8766D
2	#53B400	0.199937034544152	0.770390294124343	Aruba	Aruba	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.257257311592157	0.641762602664651	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#C49A00	0.145982152550101	0.699799433468715	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.144136613326964	0.784507782194994	Barbados	Barbados	Latin America & Caribbean (all income levels)	3	#53B400
7.02712641575682	#A58AFF	0.466563171721997	0.546230137021494	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.60996894379985	#C49A00	0.124812732049417	0.806043526083968	Belgium	Belgium	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#FB61D7	0.701163775321884	0.381481392243963	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.159552293896693	0.745116539772816	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.371463621165078	0.754266988727406	Bahrain	Bahrain	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#FB61D7	0.65980198449747	0.357566638036202	Burundi	Burundi	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#FB61D7	0.692044640336974	0.378574135224999	Benin	Benin	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#F8766D	0.34497470525653	0.770960724553815	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#53B400	0.49088086501509	0.534713218856826	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	3	#53B400
7.96992462263972	#53B400	0.269958963892568	0.655242014325518	Brazil	Brazil	Latin America & Caribbean (all income levels)	3	#53B400
2	#53B400	0.241407386499338	0.70934739756603	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	3	#53B400
2	#A58AFF	0.594556744903055	0.435677223480619	Bhutan	Bhutan	South Asia	3	#A58AFF
2	#FB61D7	0.481218924376316	0.62629219498779	Botswana	Botswana	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#C49A00	0.173665240897149	0.743018754315995	Belarus	Belarus	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.450930368890722	0.754521611237563	Belize	Belize	Latin America & Caribbean (all income levels)	3	#53B400
4.54558441227157	#00B6EB	0.145439346896237	0.828370499922417	Canada	Canada	North America	3	#00B6EB
4.90241278938748	#FB61D7	0.718316433983976	0.356415136236534	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.585763293310463	0.393555819695797	Central African Republic	Central African Republic	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.542881646655232	0.509075392319134	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#C49A00	0.122641509433962	0.833911389770324	Switzerland	Switzerland	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.647968821243242	0.451149151291869	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.8	#53B400	0.239887530668519	0.769415127913799	Chile	Chile	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#FB61D7	0.60508717458801	0.458083244307296	Cameroon	Cameroon	Sub-Saharan Africa (all income levels)	3	#FB61D7
18.4185261214276	#F8766D	0.218609549037063	0.706544649786309	China	China	East Asia & Pacific (all income levels)	3	#F8766D
4.78854800926934	#53B400	0.29579651301648	0.689886637118042	Colombia	Colombia	Latin America & Caribbean (all income levels)	3	#53B400
2.80498447189992	#53B400	0.306544064962981	0.804594077944056	Costa Rica	Costa Rica	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#53B400	0.147067763857828	0.787304829470754	Cuba	Cuba	Latin America & Caribbean (all income levels)	3	#53B400
2	#FB61D7	0.543967257962959	0.63453626381294	Cape Verde	Cape Verde	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#C49A00	0.217089693206244	0.817131006283743	Cyprus	Cyprus	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#C49A00	0.156729704496602	0.744386875266096	Czech Republic	Czech Republic	Europe & Central Asia (all income levels)	3	#C49A00
6.33497404836523	#C49A00	0.107442951125779	0.798100063834244	Germany	Germany	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.633638751981241	0.423927724754435	Djibouti	Djibouti	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#C49A00	0.129155177280327	0.793065378737873	Denmark	Denmark	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.337266864971666	0.674730897259703	Dominican Republic	Dominican Republic	Latin America & Caribbean (all income levels)	3	#53B400
4.54558441227157	#00C094	0.491097987276635	0.665536744441429	Algeria	Algeria	Middle East & North Africa (all income levels)	3	#00C094
3.60996894379985	#53B400	0.365058514449487	0.692437422622785	Ecuador	Ecuador	Latin America & Caribbean (all income levels)	3	#53B400
2.80498447189992	#C49A00	0.193206244436242	0.718886620890607	Estonia	Estonia	Europe & Central Asia (all income levels)	3	#C49A00
5.68890227574546	#00C094	0.444199578782813	0.583788097370537	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	3	#00C094
2.80498447189992	#FB61D7	0.632878824065831	0.367370744778063	Eritrea	Eritrea	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.01197609552267	#C49A00	0.100929283279415	0.824444752862822	Spain	Spain	Europe & Central Asia (all income levels)	3	#C49A00
5.31903600462544	#FB61D7	0.722224634691795	0.353018395944312	Ethiopia	Ethiopia	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#C49A00	0.138925679049873	0.792947568322725	Finland	Finland	Europe & Central Asia (all income levels)	3	#C49A00
2	#F8766D	0.325325140586664	0.645729393352749	Fiji	Fiji	East Asia & Pacific (all income levels)	3	#F8766D
2	#F8766D	0.501736978092364	0.657271013701238	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific (all income levels)	3	#F8766D
5.77571185341255	#C49A00	0.147610569511692	0.817201312499234	France	France	Europe & Central Asia (all income levels)	3	#C49A00
2	#FB61D7	0.516392730746683	0.579094302410899	Gabon	Gabon	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.68890227574546	#C49A00	0.148696180819419	0.805268257545577	United Kingdom	United Kingdom	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.38383959007317	0.691199273162943	Grenada	Grenada	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#C49A00	0.193966172351651	0.721372420650221	Georgia	Georgia	Europe & Central Asia (all income levels)	3	#C49A00
3.8	#FB61D7	0.574798619102416	0.50540654797128	Ghana	Ghana	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#FB61D7	0.617028898973012	0.45326365822697	Gambia, The	Gambia, The	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#FB61D7	0.691176151290792	0.30078999864062	Guinea	Guinea	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#FB61D7	0.593471133595327	0.350066674994469	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#C49A00	0.106357339818052	0.822483779501011	Greece	Greece	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.565136678463643	0.589831391634008	Guatemala	Guatemala	Latin America & Caribbean (all income levels)	3	#53B400
2	#F8766D	0.293082484747161	0.747003406583163	Guam	Guam	East Asia & Pacific (all income levels)	3	#F8766D
2	#FB61D7	0.678474498990381	0.292278766196605	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#53B400	0.238150552576156	0.57733474685563	Guyana	Guyana	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#F8766D	0.0939813709099594	0.827804249862513	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#53B400	0.521712226154548	0.653840070385262	Honduras	Honduras	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#C49A00	0.130240788588054	0.74702050809504	Croatia	Croatia	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.555691860086415	0.479017014978226	Haiti	Haiti	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#C49A00	0.146524958203965	0.709891225643695	Hungary	Hungary	Europe & Central Asia (all income levels)	3	#C49A00
8.48999229583518	#F8766D	0.303830036693662	0.588965675099473	Indonesia	Indonesia	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#C49A00	0.179093297435786	0.788637987329909	Ireland	Ireland	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#00C094	0.266593568838613	0.816555255383907	Israel	Israel	Middle East & North Africa (all income levels)	3	#00C094
