colour	x	y	group	clickSelects	showSelectedlegendcolour	PANEL
#00C094	0.079439252336448	0.431716513330078	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.0964316057773996	0.448099761707533	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.113423959218351	0.465249917884241	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.130416312659303	0.483018388723673	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.147408666100254	0.501171453563523	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.164401019541206	0.519404325458796	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.181393372982158	0.537404616792553	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.198385726423109	0.554875521325339	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.215378079864061	0.571543794900733	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.232370433305012	0.587206119544205	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.249362786745964	0.601721882824774	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.266355140186916	0.615020778526947	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.283347493627867	0.627282562542224	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.300339847068819	0.638631505856906	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.31733220050977	0.649138294720084	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.334324553950722	0.658841692558672	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.351316907391674	0.667804024882625	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.368309260832625	0.676072415857996	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.385301614273577	0.683771516504688	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.402293967714528	0.690971633038191	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.41928632115548	0.697774234428969	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.436278674596431	0.704249246858919	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.453271028037383	0.710427833083012	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.470263381478335	0.716341535889823	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.487255734919286	0.722036719378213	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.504248088360238	0.727536565597618	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.521240441801189	0.732825873204147	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.538232795242141	0.73787271937563	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.555225148683093	0.742693065523151	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.572217502124044	0.747279310974766	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.589209855564996	0.751677819829341	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.606202209005947	0.755912534203499	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.623194562446899	0.760014616852218	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.640186915887851	0.76401523053047	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.657179269328802	0.767937937321287	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.674171622769754	0.771798318602155	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.691163976210705	0.775619556422505	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.708156329651657	0.779370488027365	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.725148683092609	0.783051113416733	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.74214103653356	0.786661052557013	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.759133389974512	0.790200685481801	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.776125743415463	0.793646830141666	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.793118096856415	0.796999106503009	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.810110450297367	0.800250293927485	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.827102803738318	0.803414833691788	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.84409515717927	0.806476384351236	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.861087510620221	0.809457747921663	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.878079864061173	0.812365765007823	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.895072217502125	0.8152156369536	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.912064570943076	0.817992542448709	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.929056924384028	0.820704462198686	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#00C094	0.946049277824979	0.823336574893241	191	United Arab Emirates	Middle East & North Africa (all income levels)	4
#A58AFF	0.079439252336448	0.112663107094645	1	Afghanistan	South Asia	4
#A58AFF	0.0964316057773996	0.118010559841553	1	Afghanistan	South Asia	4
#A58AFF	0.113423959218351	0.123568931234934	1	Afghanistan	South Asia	4
#A58AFF	0.130416312659303	0.129369003996166	1	Afghanistan	South Asia	4
#A58AFF	0.147408666100254	0.135395576781361	1	Afghanistan	South Asia	4
#A58AFF	0.164401019541206	0.141609886163596	1	Afghanistan	South Asia	4
#A58AFF	0.181393372982158	0.147949226599327	1	Afghanistan	South Asia	4
#A58AFF	0.198385726423109	0.15437521469523	1	Afghanistan	South Asia	4
#A58AFF	0.215378079864061	0.160824764874163	1	Afghanistan	South Asia	4
#A58AFF	0.232370433305012	0.167282295758639	1	Afghanistan	South Asia	4
#A58AFF	0.249362786745964	0.17380253218666	1	Afghanistan	South Asia	4
#A58AFF	0.266355140186916	0.180431458223495	1	Afghanistan	South Asia	4
#A58AFF	0.283347493627867	0.187216578068801	1	Afghanistan	South Asia	4
#A58AFF	0.300339847068819	0.194141550277893	1	Afghanistan	South Asia	4
#A58AFF	0.31733220050977	0.201144049340826	1	Afghanistan	South Asia	4
#A58AFF	0.334324553950722	0.208099424237699	1	Afghanistan	South Asia	4
