x	y	label	showSelected	showSelected3	clickSelects	key	PANEL
0.693238812775474	0.537404616792553	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	3
0.789206852378574	0.147949226599327	Afghanistan	Afghanistan	South Asia	Afghanistan	Afghanistan	3
0.531808411316412	0.657512335035491	Albania	Albania	Europe & Central Asia (all income levels)	Albania	Albania	3
0.364515708795623	0.693494676090336	Armenia	Armenia	Europe & Central Asia (all income levels)	Armenia	Armenia	3
0.759026858023753	0.179030654384032	Angola	Angola	Sub-Saharan Africa (all income levels)	Angola	Angola	3
0.284506155416115	0.651916720349579	Argentina	Argentina	Latin America & Caribbean (all income levels)	Argentina	Argentina	3
0.24227587554552	0.718993030297837	Austria	Austria	Europe & Central Asia (all income levels)	Austria	Austria	3
0.266050763184749	0.731047696002614	Australia	Australia	East Asia & Pacific (all income levels)	Australia	Australia	3
0.346820244479666	0.682425817536825	Aruba	Aruba	Latin America & Caribbean (all income levels)	Aruba	Aruba	3
0.518889636754456	0.613373332882867	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	Azerbaijan	3
0.3188114727403	0.622024037657074	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	Bosnia and Herzegovina	3
0.366578370280305	0.674249394691987	Barbados	Barbados	Latin America & Caribbean (all income levels)	Barbados	Barbados	3
0.701706580975747	0.404037146307956	Bangladesh	Bangladesh	South Asia	Bangladesh	Bangladesh	3
0.227945806283518	0.729284340111372	Belgium	Belgium	Europe & Central Asia (all income levels)	Belgium	Belgium	3
0.658173567535879	0.232932339616416	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	Burkina Faso	3
0.173665240897149	0.737341052373077	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	Bulgaria	3
0.724178735045704	0.559870682927596	Bahrain	Bahrain	Middle East & North Africa (all income levels)	Bahrain	Bahrain	3
0.691610395813883	0.298634448077017	Burundi	Burundi	Sub-Saharan Africa (all income levels)	Burundi	Burundi	3
0.668486874959289	0.212041512741975	Benin	Benin	Sub-Saharan Africa (all income levels)	Benin	Benin	3
0.595750917341555	0.646012138349103	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	Brunei Darussalam	3
0.668269752697744	0.321325874135229	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	Bolivia	3
0.567525023340643	0.516643761408371	Brazil	Brazil	Latin America & Caribbean (all income levels)	Brazil	Brazil	3
0.37591462752676	0.644842774970364	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	Bahamas, The	3
0.677388887682654	0.233474267526095	Bhutan	Bhutan	South Asia	Bhutan	Bhutan	3
0.680428599344291	0.447672223910627	Botswana	Botswana	Sub-Saharan Africa (all income levels)	Botswana	Botswana	3
0.201891134898061	0.713011681510716	Belarus	Belarus	Europe & Central Asia (all income levels)	Belarus	Belarus	3
0.645797598627787	0.624979938976485	Belize	Belize	Latin America & Caribbean (all income levels)	Belize	Belize	3
0.251720693922748	0.749509728157027	Canada	Canada	North America	Canada	Canada	3
0.616703215580693	0.289393171092684	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	Congo, Dem. Rep.	3
0.598682067872419	0.23952136212554	Central African Republic	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	Central African Republic	3
0.619634366111557	0.435970989451294	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	Congo, Rep.	3
0.221649260698699	0.754670584407686	Switzerland	Switzerland	Europe & Central Asia (all income levels)	Switzerland	Switzerland	3
0.79539483683262	0.276554116043183	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	Cote d'Ivoire	3
0.474271012006861	0.560059179591832	Chile	Chile	Latin America & Caribbean (all income levels)	Chile	Chile	3
0.609321058688147	0.315632590814824	Cameroon	Cameroon	Sub-Saharan Africa (all income levels)	Cameroon	Cameroon	3
0.595316672818464	0.472110284381801	China	China	East Asia & Pacific (all income levels)	China	China	3
0.650465727251015	0.55386501199025	Colombia	Colombia	Latin America & Caribbean (all income levels)	Colombia	Colombia	3
0.640260980958378	0.638504194601828	Costa Rica	Costa Rica	Latin America & Caribbean (all income levels)	Costa Rica	Costa Rica	3
0.446153679136722	0.678349197139122	Cuba	Cuba	Latin America & Caribbean (all income levels)	Cuba	Cuba	3
0.71212844952993	0.409623640187535	Cape Verde	Cape Verde	Sub-Saharan Africa (all income levels)	Cape Verde	Cape Verde	3
0.280055149054433	0.740914888321618	Cyprus	Cyprus	Europe & Central Asia (all income levels)	Cyprus	Cyprus	3
0.172579629589422	0.724275497299615	Czech Republic	Czech Republic	Europe & Central Asia (all income levels)	Czech Republic	Czech Republic	3
0.227945806283518	0.726202647671271	Germany	Germany	Europe & Central Asia (all income levels)	Germany	Germany	3
0.787578435416983	0.272320541769816	Djibouti	Djibouti	Middle East & North Africa (all income levels)	Djibouti	Djibouti	3
0.237173502399201	0.756361733915448	Denmark	Denmark	Europe & Central Asia (all income levels)	Denmark	Denmark	3
0.702792192283475	0.499427479385742	Dominican Republic	Dominican Republic	Latin America & Caribbean (all income levels)	Dominican Republic	Dominican Republic	3
0.755552901839025	0.41373028323942	Algeria	Algeria	Middle East & North Africa (all income levels)	Algeria	Algeria	3
0.66892111948238	0.503579346435701	Ecuador	Ecuador	Latin America & Caribbean (all income levels)	Ecuador	Ecuador	3
0.161723516512148	0.714213347745221	Estonia	Estonia	Europe & Central Asia (all income levels)	Estonia	Estonia	3
0.640152419827605	0.384137447055144	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	Egypt, Arab Rep.	Egypt, Arab Rep.	3
0.684228238921336	0.276041070686896	Eritrea	Eritrea	Sub-Saharan Africa (all income levels)	Eritrea	Eritrea	3
0.269416158238704	0.73471882055205	Spain	Spain	Europe & Central Asia (all income levels)	Spain	Spain	3
0.700295286275702	0.276569317387074	Ethiopia	Ethiopia	Sub-Saharan Africa (all income levels)	Ethiopia	Ethiopia	3
